implementation,n_features,n_samples,throughput,time_elapsed
Pairwise distances in Cython,2.0,1000.0,0.0002136793266027474,0.14975711739999725
Scipy's cdist,2.0,1000.0,0.011645651360935398,0.0027478067999993526
Pairwise distances in Cython,100.0,1000.0,0.009212533900419028,0.1736764300999994
Scipy's cdist,100.0,1000.0,0.034293248438915534,0.04665641409999353
Pairwise distances in Cython,100.0,10000.0,0.000936725132245525,17.080784372299984
Scipy's cdist,100.0,10000.0,0.003291999493495011,4.8602680625000065
Pairwise distances in Cython,1000.0,10000.0,0.0022462740666273325,71.22906433239999
Scipy's cdist,1000.0,10000.0,0.001786119310753967,89.57968207199993
